year,Income,monthly_disposable_income
1991,13067,1089
1992,13689,1141
1993,14245,1187
1994,14450,1204
1995,15211,1268
1996,15023,1252
1997,14860,1238
1998,14761,1230
1999,15139,1262
2000,15164,1264
2001,15514,1293
2002,15414,1285
2003,15360,1280
2004,15884,1324
2005,16014,1335
2006,16497,1375
2007,16642,1387
2008,17063,1422
2009,17355,1446
2010,17530,1461
2011,17935,1495
2012,18089,1507
2013,18278,1523
2014,18444,1537
2015,19034,1586
2016,19406,1617
2017,20354,1696
2018,20990,1749
2019,21614,1801
2020,22077,1840
2021,22699,1892
2022,23952,1996
2023,24369,2031
