bez_name,year,net_migration
Mitte,2014,4672
Friedrichshain-Kreuzberg,2014,-791
Pankow,2014,3815
Charlottenburg-Wilmersdorf,2014,2890
Spandau,2014,3037
Steglitz-Zehlendorf,2014,1214
Tempelhof-Schöneberg,2014,2994
Neukölln,2014,1297
Treptow-Köpenick,2014,2472
Marzahn-Hellersdorf,2014,323
Lichtenberg,2014,2222
Reinickendorf,2014,1801
Berlin Insgesamt,2014,25946
Mitte,2015,5719
Friedrichshain-Kreuzberg,2015,1487
Pankow,2015,4340
Charlottenburg-Wilmersdorf,2015,4981
Spandau,2015,4857
Steglitz-Zehlendorf,2015,2097
Tempelhof-Schöneberg,2015,5436
Neukölln,2015,2261
Treptow-Köpenick,2015,4350
Marzahn-Hellersdorf,2015,2874
Lichtenberg,2015,6810
Reinickendorf,2015,3310
Berlin Insgesamt,2015,48542
Mitte,2016,7051
Friedrichshain-Kreuzberg,2016,1373
Pankow,2016,6394
Charlottenburg-Wilmersdorf,2016,6122
Spandau,2016,5956
Steglitz-Zehlendorf,2016,5776
Tempelhof-Schöneberg,2016,5012
Neukölln,2016,-891
Treptow-Köpenick,2016,6599
Marzahn-Hellersdorf,2016,2519
Lichtenberg,2016,7655
Reinickendorf,2016,5843
Berlin Insgesamt,2016,59209
Mitte,2017,3676
Friedrichshain-Kreuzberg,2017,-332
Pankow,2017,1932
Charlottenburg-Wilmersdorf,2017,2352
Spandau,2017,1679
Steglitz-Zehlendorf,2017,3375
Tempelhof-Schöneberg,2017,1813
Neukölln,2017,335
Treptow-Köpenick,2017,4955
Marzahn-Hellersdorf,2017,4198
Lichtenberg,2017,1903
Reinickendorf,2017,1826
Berlin Insgesamt,2017,27212
Mitte,2018,3714
Friedrichshain-Kreuzberg,2018,3456
Pankow,2018,3681
Charlottenburg-Wilmersdorf,2018,3116
Spandau,2018,1445
Steglitz-Zehlendorf,2018,2216
Tempelhof-Schöneberg,2018,2887
Neukölln,2018,974
Treptow-Köpenick,2018,4979
Marzahn-Hellersdorf,2018,2160
Lichtenberg,2018,4008
Reinickendorf,2018,1813
Berlin Insgesamt,2018,34449
Mitte,2019,724
Friedrichshain-Kreuzberg,2019,-360
Pankow,2019,873
Charlottenburg-Wilmersdorf,2019,2696
Spandau,2019,2675
Steglitz-Zehlendorf,2019,3308
Tempelhof-Schöneberg,2019,-320
Neukölln,2019,-1204
Treptow-Köpenick,2019,4157
Marzahn-Hellersdorf,2019,1353
Lichtenberg,2019,3259
Reinickendorf,2019,2009
Berlin Insgesamt,2019,19170
Mitte,2020,-3175
Friedrichshain-Kreuzberg,2020,-1564
Pankow,2020,872
Charlottenburg-Wilmersdorf,2020,-871
Spandau,2020,1479
Steglitz-Zehlendorf,2020,449
Tempelhof-Schöneberg,2020,-688
Neukölln,2020,-1483
Treptow-Köpenick,2020,3155
Marzahn-Hellersdorf,2020,4333
Lichtenberg,2020,3022
Reinickendorf,2020,879
Berlin Insgesamt,2020,6408
Mitte,2021,1909
Friedrichshain-Kreuzberg,2021,-1833
Pankow,2021,2071
Charlottenburg-Wilmersdorf,2021,-6163
Spandau,2021,2841
Steglitz-Zehlendorf,2021,1008
Tempelhof-Schöneberg,2021,5426
Neukölln,2021,611
Treptow-Köpenick,2021,4464
Marzahn-Hellersdorf,2021,3206
Lichtenberg,2021,3051
Reinickendorf,2021,896
Berlin Insgesamt,2021,10892
Mitte,2022,8292
Friedrichshain-Kreuzberg,2022,2987
Pankow,2022,7260
Charlottenburg-Wilmersdorf,2022,7802
Spandau,2022,7352
Steglitz-Zehlendorf,2022,5272
Tempelhof-Schöneberg,2022,5426
Neukölln,2022,2131
Treptow-Köpenick,2022,9537
Marzahn-Hellersdorf,2022,7922
Lichtenberg,2022,8696
Reinickendorf,2022,3287
Berlin Insgesamt,2022,76000
Mitte,2023,1131
Friedrichshain-Kreuzberg,2023,-366
Pankow,2023,3718
Charlottenburg-Wilmersdorf,2023,2897
Spandau,2023,3648
Steglitz-Zehlendorf,2023,1282
Tempelhof-Schöneberg,2023,2628
Neukölln,2023,823
Treptow-Köpenick,2023,5741
Marzahn-Hellersdorf,2023,6800
Lichtenberg,2023,3923
Reinickendorf,2023,1649
Berlin Insgesamt,2023,33874
