bez,total,1_person,multiple_people,2_people,3_people,4_or_more,household_members,members_household
1,221000,121000,100000,57000,57000000,21000,395000,1.8
2,163000,93000,70000,37000,37000000,16000,286000,1.8
3,221000,103000,118000,67000,67000000,22000,417000,1.9
4,180000,96000,84000,49000,49000000,17000,320000,1.8
5,122000,53000,70000,39000,39000000,16000,246000,2.0
6,155000,72000,83000,48000,48000000,17000,295000,1.9
7,183000,91000,92000,53000,53000000,21000,346000,1.9
8,170000,89000,81000,44000,44000000,20000,322000,1.9
9,150000,66000,84000,51000,51000000,17000,287000,1.9
10,153000,70000,83000,50000,17000,16000,291000,1.9
11,166000,87000,80000,51000,13000,15000,297000,1.8
12,127000,54000,72000,40000,15000,17000,259000,2.0
