Bezirk,<8 EUR/m²,8–10 EUR/m²,10–12 EUR/m²,12–14 EUR/m²,14–16 EUR/m²,16–18 EUR/m²,≥18 EUR/m²
Mitte,9,6,9,8,8,9,52
Friedrichshain-Kreuzberg,10,6,7,9,8,8,52
Pankow,10,10,13,12,11,9,35
Charlottenburg-Wilmersdorf,8,8,9,10,10,10,46
Spandau,32,17,15,9,8,8,12
Steglitz-Zehlendorf,10,13,15,16,14,11,21
Tempelhof-Schöneberg,17,13,15,11,10,8,27
Neukölln,22,12,11,11,10,9,26
Treptow-Köpenick,12,11,16,13,15,12,21
Marzahn-Hellersdorf,33,10,11,8,10,7,21
Lichtenberg,31,11,26,16,7,4,5
Reinickendorf,28,15,19,11,9,6,12
Berlin insgesamt,16,10,13,11,10,9,31
